reading: ../download/bike_crashes.csv
179 ROUTE 533 and KLOCKNER ROAD, Hamilton Twp (Mercer Co), NJ
180 NJ 33, Hamilton Twp (Mercer Co), NJ
181 PAXSON AVE and NJ 33, Hamilton Twp (Mercer Co), NJ
182 US 206 and BUCHANAN AVENUE, Hamilton Twp (Mercer Co), NJ
183 LAFAYETTE AVE and SEWELL AVENUE, Hamilton Twp (Mercer Co), NJ
184 ROUTE 533 and CR 620, Hamilton Twp (Mercer Co), NJ
185 MERCER COUNTY 622 and RYAN AVENUE, Hamilton Twp (Mercer Co), NJ
186 ANNABELLE AVENUE and BOW HILL AVENUE, Hamilton Twp (Mercer Co), NJ
187 ROUTE 533 and SLOAN AVENUE, Hamilton Twp (Mercer Co), NJ
188 PARKINSON AVE and MARY STREET, Hamilton Twp (Mercer Co), NJ
189 MERCER COUNTY 606 and POPE AVENUE, Hamilton Twp (Mercer Co), NJ
190 HAMILTON SQUARE-WHITEHORSE RD and BOW RD, Hamilton Twp (Mercer Co), NJ
191 ROUTE 535 and REGINA AVENUE, Hamilton Twp (Mercer Co), NJ
192 HAMILTON SQUARE-WHITEHORSE RD and SILVER COURT, Hamilton Twp (Mercer Co), NJ
193 NEW CEDAR LANE and S. BROAD ST, Hamilton Twp (Mercer Co), NJ
194 LIBERTY ST and CHAMBERS ST., Hamilton Twp (Mercer Co), NJ
195 GREENBRIAR RD and CR 618, Hamilton Twp (Mercer Co), NJ
196 1601 GREENWOOD AVE, Hamilton Twp (Mercer Co), NJ
197 ERMAN CT and MASSACHUSETTS AVENUE, Hamilton Twp (Mercer Co), NJ
198 PARK LANE and WALNUT AVE, Hamilton Twp (Mercer Co), NJ
199 MERCER COUNTY 618 and YARDVILLE-HAMILTON SQ ROAD, Hamilton Twp (Mercer Co), NJ
200 NJ 33 and CR 539, Hightstown Borough, NJ
201 ROUTE 571 and CR 539, Hightstown Borough, NJ
202 NJ 29 and GRANT STREET, Hopewell Twp (Mercer Co), NJ
203 ROUTE 546 and CR 632, Hopewell Twp (Mercer Co), NJ
204 MAPLETREE AVE and AVALON WAY, Lawrence Twp (Mercer Co), NJ
205 2999 PRINCETON PK, Lawrence Twp (Mercer Co), NJ
206 US 206, Lawrence Twp (Mercer Co), NJ
207 US 206 and CRAVEN LANE, Lawrence Twp (Mercer Co), NJ
208 LINDEN LN and FRANKLIN AVENUE, Princeton Borough, NJ
209 S HARRISON ST and HORNER LANE, Princeton Borough, NJ
210 PROSPECT AVE and PRINCETON AVENUE, Princeton Borough, NJ
211 NJ 27, Princeton Borough, NJ
212 NJ 27 and WITHERSPOON STREET, Princeton Borough, NJ
213 ROUTE 571 and FACULTY ROAD, Princeton Township, NJ
214 ALEXANDER RD and FACULTY RD, Princeton Township, NJ
215 WITHERSPOON ST and LEIGH AVENUE, Princeton Township, NJ
216 MOUNT LUCAS RD and HERRONTOWN ROAD, Princeton Township, NJ
217 HARRISON ST and TERHUNE ROAD, Princeton Township, NJ
218 S CLINTON AVE and RT 33, Trenton City, NJ
219 NJ 33 and CHESTNUT AVENUE, Trenton City, NJ
220 MERCER COUNTY 653 and BELLEVUE AVENUE, Trenton City, NJ
221 CROSS ST and CARROLL STREET, Trenton City, NJ
222 NJ 33 and SOUTH CLINTON AVENUE, Trenton City, NJ
223 NJ 129 and CR 606, Trenton City, NJ
224 PROSPECT ST and SPRING STREET, Trenton City, NJ
225 US 206 and CASS STREET, Trenton City, NJ
226 MONMOUTH ST and WALNUT AVENUE, Trenton City, NJ
227 HEWITT ST and ANDERSON STREET, Trenton City, NJ
228 EDGEWOOD AVE and HERMITAGE AVENUE, Trenton City, NJ
229 MARKET STREET and RT 206, Trenton City, NJ
230 QUINTIN AVE and RT 33, Trenton City, NJ
231 BELMONT CIR, Trenton City, NJ
232 US 206 SOUTHBOUND and FOUNTAIN AVE, Trenton City, NJ
233 NJ 31 and PROSPECT STREET, Trenton City, NJ
234 CLEVELAND AVE and FARRAGUT AVENUE, Trenton City, NJ
235 SOUTHARD ST and ESCHER STREET, Trenton City, NJ
236 NJ 129 and CR 650, Trenton City, NJ
237 CENTER ST and SHEPPARDS STREET, Trenton City, NJ
238 MERCER COUNTY 622, Trenton City, NJ
239 SOUTH COOK AVE and BELGRADE ALLEY, Trenton City, NJ
240 PERRY ST and ALLEN STREET, Trenton City, NJ
241 SOUTH COOK AVE and FARRAGUT AVENUE, Trenton City, NJ
242 MERCER COUNTY 635 and WALL STREET, Trenton City, NJ
243 US 206 and CASS STREET, Trenton City, NJ
244 MARKET STREET and STOCKTON STREET, Trenton City, NJ
245 MERCER COUNTY 606 and CLEVELAND AVENUE, Trenton City, NJ
246 CENTER ST and FURMAN STREET, Trenton City, NJ
247 REED DRIVE and VILLAGE RD WEST, West Windsor Township, NJ
248 WOODMERE WAY and AMHERST WAY, West Windsor Township, NJ
249 US 130 and DUTCH NECK ROAD, East Windsor Township, NJ
250 US 130 and HICKORY CORNER ROAD, East Windsor Township, NJ
251 US 130 and DUTCH NECK ROAD, East Windsor Township, NJ
252 HICKORY CORNER RD and KNOLL WOOD ROAD, East Windsor Township, NJ
253 HICKORY CORNER RD and KNOLLWOOD DRIVE, East Windsor Township, NJ
254 OAK CREEK RD and DUTCH NECK ROAD, East Windsor Township, NJ
255 ROUTE 539 and TOWN CENTER DRIVE, East Windsor Township, NJ
256 WYCOFFS MILL RD and PROBASCOR ROAD, East Windsor Township, NJ
257 MERCER COUNTY 611 and CR 636, Ewing Township, NJ
258 CLIFTON BLVD and ELM STREET, Ewing Township, NJ
259 NJ 31 and CR 622, Ewing Township, NJ
260 SIXTH STREET and CR 622, Ewing Township, NJ
261 MERCER COUNTY 613 and RT 206, Ewing Township, NJ
262 1600 OLDEN AVENUE (CENLAR), Ewing Township, NJ
263 WOODLAND AVE and RT 31, Ewing Township, NJ
264 MERCER COUNTY 622 and CR 639, Ewing Township, NJ
265 1655 OLDEN AVE(COLONIAL), Ewing Township, NJ
266 KLOCKNER RD and WHITEHORSE-HAMILTON SQ. RD., Hamilton Twp (Mercer Co), NJ
267 FENWAY ROAD and ARGONNE AVE., Hamilton Twp (Mercer Co), NJ
268 NJ 33 and YARDVILLE HAMILTON SQ RD, Hamilton Twp (Mercer Co), NJ
269 BOW HILL ROAD and ANNABELLE AVE, Hamilton Twp (Mercer Co), NJ
270 HUTCHINSON STREET and E BROWN ST, Hamilton Twp (Mercer Co), NJ
271 NJ 33 and PAXSON AVE, Hamilton Twp (Mercer Co), NJ
272 CENTRAL AVENUE and PITMAN AVE., Hamilton Twp (Mercer Co), NJ
273 MERCER COUNTY 622 and WATSON AVENUE, Hamilton Twp (Mercer Co), NJ
274 ROUTE 524 and COLERIDGE RD., Hamilton Twp (Mercer Co), NJ
275 ROUTE 533 and KLOCKNER RD., Hamilton Twp (Mercer Co), NJ
276 MERCER COUNTY 606 and KLEIN AVE, Hamilton Twp (Mercer Co), NJ
277 FLOCK RD and KLOCKNER ROAD, Hamilton Twp (Mercer Co), NJ
278 4680 NOTTINGHAM WAY, Hamilton Twp (Mercer Co), NJ
279 DEUTZ AVENUE and GIBBS AVENUE, Hamilton Twp (Mercer Co), NJ
280 WARD AVE and BONNIE AVE, Hamilton Twp (Mercer Co), NJ
281 MERCER COUNTY 620 and REEVES AVE., Hamilton Twp (Mercer Co), NJ
282 MERCER COUNTY 614 and KARL SUESS DRIVE, Hamilton Twp (Mercer Co), NJ
283 HOLT AVENUE and QUAKERBRIDGE RD, Hamilton Twp (Mercer Co), NJ
284 ROUTE 571 and SUMMIT STREET, Hightstown Borough, NJ
285 NJ 33 and MAXWELL AVENUE, Hightstown Borough, NJ
286 NJ 33 and SOUTH STREET, Hightstown Borough, NJ
287 US 1 BUSINESS and PRESIDENT AVENUE, Lawrence Twp (Mercer Co), NJ
288 GAINSBORO RD and LAWRENCE RD, Lawrence Twp (Mercer Co), NJ
289 HULFISH ST and PALMER SQUARE EAST, Princeton Borough, NJ
290 255 NASSAU STREET, Princeton Borough, NJ
291 PROSPECT AVE and MURRAY PLACE, Princeton Borough, NJ
292 BANK ST and CHAMBERS STREET, Princeton Borough, NJ
293 LAFAYETTE RD and HUNTER ROAD, Princeton Borough, NJ
294 NJ 27 and VANDEVENTER AVENUE, Princeton Borough, NJ
295 LOT 18 ACCESS ROAD and ELM DRIVE, Princeton Borough, NJ
296 HARRISON ST and FRANKLIN AVE., Princeton Borough, NJ
297 ELM DRIVE, Princeton Borough, NJ
298 PALMER STADIUM ACCESS RD-PRINCETON UNIV and WASHINGTON ROAD, Princeton Township, NJ
299 NJ 27 and SHADY BROOK LANE, Princeton Township, NJ
300 US 206 and HERRONTOWN ROAD, Princeton Township, NJ
301 NJ 33 and MONMOUTH STREET, Trenton City, NJ
302 ERNIE KOVACS PL and STOCKTON STREET, Trenton City, NJ
303 US 206, Trenton City, NJ
304 STEAMBOAT and ASBURY PLACE, Trenton City, NJ
305 SOUTH OVERBROOK and CUMBERLAND, Trenton City, NJ
306 S CLINTON AVE and WALLENBURG AVE., Trenton City, NJ
307 NJ 31 and CR 653, Trenton City, NJ
308 MERCER COUNTY 636 and BELLEVUE AVENUE, Trenton City, NJ
309 PROSPECT ST and RUTHERFORD AVENUE, Trenton City, NJ
310 ROEBLING AVE and SOUTH CLINTON AVENUE, Trenton City, NJ
311 ENTERPRISE AVE and PLUM STREET, Trenton City, NJ
312 CUMMINGS AVENUE and WHITTAKER AVENUE, Trenton City, NJ
313 SPRUCE ST and BRUNSWICK AVE., Trenton City, NJ
314 US 206 and U SIDE STREET, Trenton City, NJ
315 US 1 and BRIDGE STREET, Trenton City, NJ
316 US 206 and WEST INGHAM AVE, Trenton City, NJ
317 EMORY AVE and ANDERSON STREET, Trenton City, NJ
318 WHITTAKER AVE and CR 606, Trenton City, NJ
319 S CLINTON AVE and YARD AVENUE, Trenton City, NJ
320 MERCER COUNTY 622 and WALNUT AVENUE, Trenton City, NJ
321 CUMMINGS AVE and WASHINGTON STREET, Trenton City, NJ
322 S STOCKTON ST and ERNIE KOVALS PL, Trenton City, NJ
323 US 206 and REMSEN STREET, Trenton City, NJ
324 OAK LN, Trenton City, NJ
325 US 206 and FERRY ST., Trenton City, NJ
326 PERRY ST and STOCKTON ST., Trenton City, NJ
327 US 130 and WINDSOR ROAD, Washington Twp  (Mercer Co), NJ
328 ROUTE 526 and NEW VILLAGE ROAD, West Windsor Township, NJ
329 VILLAGE RD W. and NORTH POST ROAD, West Windsor Township, NJ
330 US 1 and CR 571, West Windsor Township, NJ
331 TAYLOR CT and AVALON WATCH APT COMPLEX, West Windsor Township, NJ
332 LAKE DRIVE and ABBINGTON DR., East Windsor Township, NJ
333 OLD MILLSTONE DRIVE and PINE LANE, East Windsor Township, NJ
334 NJ 33 and AIRPORT RD, East Windsor Township, NJ
335 NJ 33 and PROBASCO ROAD, East Windsor Township, NJ
336 NEW HILLCREST AVENUE and HENDRICKSON AVE., Ewing Township, NJ
337 MERCER COUNTY 622 and PROSPECT STREET (627), Ewing Township, NJ
338 SUSAN DRIVE and THOMAS PLACE, Ewing Township, NJ
339 NJ 31 and THERESA STREET, Ewing Township, NJ
340 MERCER COUNTY 622 and FIFTH ST, Ewing Township, NJ
341 THERESA STREET and DIXFIELD AVE, Ewing Township, NJ
342 MERCER COUNTY 618 and WILSON AVENUE, Hamilton Twp (Mercer Co), NJ
343 ROUTE 533 and JUSTICE ?, Hamilton Twp (Mercer Co), NJ
344 MERCER COUNTY 619 and ESTATES BLVD., Hamilton Twp (Mercer Co), NJ
345 ROUTE 533 and KNAPP AVENUE, Hamilton Twp (Mercer Co), NJ
346 NJ 33 and GEORGE DYE RD, Hamilton Twp (Mercer Co), NJ
347 MERCER COUNTY 606 and KLOCKNER RD., Hamilton Twp (Mercer Co), NJ
348 LAKE AVENUE and LAFAYETTE AVENUE, Hamilton Twp (Mercer Co), NJ
349 MERCER COUNTY 626 and CEDAR LN, Hamilton Twp (Mercer Co), NJ
350 MERCER COUNTY 626 and WILLIAM ST., Hamilton Twp (Mercer Co), NJ
351 NJ 33 and DONALD DR, Hamilton Twp (Mercer Co), NJ
352 MERCER COUNTY 620 and CR 533, Hamilton Twp (Mercer Co), NJ
353 FLOCK RD and PAXSON AVENUE, Hamilton Twp (Mercer Co), NJ
354 MERCER COUNTY 618 and HOOVER AVE., Hamilton Twp (Mercer Co), NJ
355 1750 WHITEHORSE AVE, Hamilton Twp (Mercer Co), NJ
356 NJ 33 and WARD AVENUE, Hamilton Twp (Mercer Co), NJ
357 WARD AVE and CR 606, Hamilton Twp (Mercer Co), NJ
358 PARK LANE and HOLLYWOOD DR., Hamilton Twp (Mercer Co), NJ
359 LAMONT AVENUE and KLOCKNER RD., Hamilton Twp (Mercer Co), NJ
360 KLOCKNER RD and YARDVILLE-HAMILTON SQ RD, Hamilton Twp (Mercer Co), NJ
361 MASSACHUSETTS AVENUE and NORMAN COURT, Hamilton Twp (Mercer Co), NJ
362 ROUTE 571 and PARKWAY, Hightstown Borough, NJ
363 NJ 33 and S. MAIN STREET, Hightstown Borough, NJ
364 ROUTE 539 and WEST WARD STREET, Hightstown Borough, NJ
365 NJ 31 and WASHINGTON CROSSING PENN, Hopewell Twp (Mercer Co), NJ
366 MERCER COUNTY 623 and SCOTCH RD, Hopewell Twp (Mercer Co), NJ
367 US 206 and EGGERTS CROSSING, Lawrence Twp (Mercer Co), NJ
368 VERMONT ST and BRUNSWICK AVE, Lawrence Twp (Mercer Co), NJ
369 NJ 27 and MURRAY PLACE, Princeton Borough, NJ
370 HAMILTON AVENUE and LINDEN LANE, Princeton Borough, NJ
371 WITHERSPOON ST and WIGGINS STREET, Princeton Borough, NJ
372 NJ 27 and CHAMBERS STREET, Princeton Borough, NJ
373 NJ 27 and CR 571, Princeton Borough, NJ
374 MOORE ST and FRANKLIN AVENUE, Princeton Borough, NJ
375 CHESTNUT STREET and SPRUCE STREET, Princeton Borough, NJ
376 ALEXANDER RD and COLLEGE ROAD, Princeton Borough, NJ
377 US 206 and EDGEHILL ST., Princeton Borough, NJ
378 NJ 27 and CHESTNUT STREET, Princeton Borough, NJ
379 TERHUNE RD and JEFFERSON RD., Princeton Township, NJ
380 NJ 27 and RIVERSIDE DRIVE, Princeton Township, NJ
381 ACCESS ROAD-PARKING LOT 20 and ELM DRIVE, Princeton Township, NJ
382 TERHUNE ROAD and NORTH HARRISON ST., Princeton Township, NJ
383 US 206 and EWING STREET, Princeton Township, NJ
384 PARKING LOT 15 and WASHINGTON ROAD, Princeton Township, NJ
385 CLEARVIEW AVENUE and N. HARRISON ST., Princeton Township, NJ
386 WESTERLY ROAD and WILSON ROAD, Princeton Township, NJ
387 US 206 and HERRONTOWN ROAD, Princeton Township, NJ
388 301 NO HARRISON ST (PRINCETON SHOPPING CTR), Princeton Township, NJ
389 NJ 27 and RIVERSIDE DRIVE EAST, Princeton Township, NJ
390 US 206 and EWING STREET, Princeton Township, NJ
391 MERCER COUNTY 604 and GENERAL JOHNSON RD. (JOHNSON PARK ?, Princeton Township, NJ
392 ROUTE 571 and FACULTY ROAD, Princeton Township, NJ
393 MELON STREET and EISENHOWER, Trenton City, NJ
394 MERCER COUNTY 635 and CUYLER AVE, Trenton City, NJ
395 MERCER COUNTY 606 and WASHINGTON ST, Trenton City, NJ
396 S CLINTON AVE and WALLENBERG PL., Trenton City, NJ
397 NJ 33 and CR 626, Trenton City, NJ
398 SOUTHARD ST, Trenton City, NJ
399 W STATE ST and WEST END AVENUE, Trenton City, NJ
400 SOUTH LOGAN AVENUE and GREENWOOD, Trenton City, NJ
401 EVANS AVENUE and US 206, Trenton City, NJ
402 RIVERSIDE AVENUE and COLONIAL AVE, Trenton City, NJ
403 S CLINTON AVE and MOTT ST, Trenton City, NJ
404 US 206, Trenton City, NJ
405 CHESTNUT AVE and CUMMING AVENUE, Trenton City, NJ
406 GREENWOOD AVE and DRIVEWAY OF 407 GREENWOOD, Trenton City, NJ
407 NJ 33 and HAMPTON STREET, Trenton City, NJ
408 BARNT STREET, Trenton City, NJ
409 NJ 31 and CR 653, Trenton City, NJ
